:simulator:compileJava UP-TO-DATE
:simulator:processResources NO-SOURCE
:simulator:classes UP-TO-DATE
:simulator:run
simblock.block.ProofOfWorkBlock@70177ecd:0
1,0
39,404
49,566
44,686
47,723
36,759
32,800
27,843
28,879
33,889
20,918
9,943
17,956
38,1012
24,1036
3,1067
41,1090
45,1113
18,1168
7,1191
50,1219
11,1231
34,1247
2,1451
19,1476
42,1509
40,1646
25,1740
15,1765
13,1892
22,2054
37,2306
10,2569
46,2835
23,3098
12,3372
48,3685
35,3912
31,4150
4,4478
6,5385
16,5690
26,6120
43,6286
8,6317
29,6498
21,6776
5,6894
14,7258
30,7620

simblock.block.ProofOfWorkBlock@32a068d1:1
16,0
4,47
41,78
7,95
21,109
37,129
43,136
18,149
13,151
19,164
17,175
10,178
50,178
22,190
8,194
14,202
12,213
45,221
15,232
29,258
46,261
30,270
25,305
34,331
31,439
35,460
33,495
3,500
23,508
24,515
9,580
47,629
44,637
27,710
20,774
2,832
38,840
48,864
40,879
11,907
28,968
49,1035
5,1280
1,1364
42,1523
36,1529
26,4687
39,5243
32,5404
6,5694

simblock.block.ProofOfWorkBlock@45099dd3:2
32,0
11,119
28,155
9,217
33,234
20,271
27,272
3,308
35,346
38,350
47,382
31,386
24,422
49,425
41,511
18,553
21,607
22,647
50,663
8,669
16,687
29,743
23,782
46,797
19,798
4,818
48,822
25,913
30,933
15,1072
34,1074
1,1077
45,1078
6,1224
37,1238
39,1271
14,1339
17,1471
42,1475
13,1600
2,1679
10,1742
7,1872
44,1944
36,2028
26,6599
5,6808
12,6975
43,7146
40,7383

simblock.block.ProofOfWorkBlock@4879dfad:3
10,0
41,62
12,92
50,107
16,115
29,141
22,147
23,148
17,156
13,157
4,163
19,164
7,183
43,183
8,199
34,207
25,235
14,260
15,261
37,270
45,311
30,311
21,325
18,368
46,383
38,486
49,496
33,540
31,642
9,676
44,757
27,772
40,836
28,854
11,885
35,903
47,1034
2,1084
3,1163
24,1294
36,1432
20,1550
48,1668
42,1910
39,2021
26,6257
1,6518
6,6779
32,7178
5,7491

simblock.block.ProofOfWorkBlock@1a69561c:4
29,0
13,88
41,102
17,119
19,136
25,150
4,153
21,167
10,170
14,176
15,180
45,183
37,191
34,215
50,216
23,217
12,219
7,223
30,224
22,304
8,379
49,387
46,429
18,461
33,522
16,528
31,548
24,583
32,620
20,655
38,690
27,757
48,760
36,783
9,819
43,833
2,1000
39,1063
42,1077
1,1084
44,1167
11,1300
5,1322
40,1546
6,1599
47,1745
28,1907
3,2843
26,5101
35,5263

simblock.block.ProofOfWorkBlock@34b9fc7d:5
28,0
32,113
47,163
27,201
35,230
20,240
49,284
24,310
36,348
31,360
33,369
44,393
43,396
9,430
3,430
38,439
11,502
19,595
12,634
29,637
25,639
13,655
23,683
21,703
15,727
16,764
37,776
7,787
6,796
30,832
50,871
4,917
1,956
46,964
42,1015
45,1049
22,1105
10,1162
41,1222
5,1253
40,1367
18,1417
39,1446
48,1481
2,1655
34,1822
8,1984
26,5742
14,5905
17,7653

simblock.block.ProofOfWorkBlock@4f966719:6
25,0
22,78
41,97
43,126
12,144
15,159
34,175
21,179
30,193
8,193
10,195
50,202
4,209
18,211
14,225
37,228
46,242
13,245
29,250
7,260
45,270
19,303
17,408
24,483
35,535
36,612
28,644
31,663
44,742
16,882
27,886
38,919
33,925
9,1026
42,1130
1,1175
3,1338
23,1502
20,1634
47,1693
11,1889
5,1967
48,2125
6,2254
2,2635
32,2976
26,6743
39,7042
49,7204
40,8182

simblock.block.ProofOfWorkBlock@4a163575:7
25,0
41,50
8,67
46,81
43,98
34,116
23,121
30,132
12,133
10,141
22,147
29,178
50,181
16,209
4,228
21,234
18,257
37,263
13,322
47,455
24,498
35,510
11,526
27,604
32,626
33,648
20,659
28,758
9,780
31,854
1,866
48,904
38,940
45,960
3,1069
40,1151
15,1321
19,1367
2,1393
17,1419
7,1639
14,1969
44,2096
36,2226
42,2476
5,2727
6,3529
26,5501
49,5660
39,5967

simblock.block.ProofOfWorkBlock@188598ad:8
42,0
6,208
5,302
2,421
39,619
40,703
20,922
49,957
1,1024
38,1036
24,1038
31,1090
32,1127
27,1155
29,1280
36,1331
44,1332
45,1398
4,1524
47,1538
34,1597
12,1663
28,1748
50,1773
13,1840
46,1997
22,2195
30,2242
35,2432
14,2492
3,2901
16,3228
25,4252
26,5488
11,5697
9,6118
23,6361
18,6605
7,7097
8,7344
19,7589
41,7841
10,8332
17,8579
37,8829
21,9074
33,9810
43,10105
15,11209
48,11585

simblock.block.ProofOfWorkBlock@5c53f292:9
5,0
6,212
36,824
24,984
42,1059
38,1109
44,1146
11,1183
31,1221
20,1270
27,1465
25,1575
43,1688
1,1734
33,1737
50,1816
34,1870
29,1872
32,1903
23,2001
15,2131
19,2166
9,2173
13,2263
4,2394
8,2419
7,2465
17,2527
14,2662
45,2665
40,2864
10,2919
46,3166
37,3667
22,3915
48,4985
39,5232
28,5486
47,6139
41,6429
21,6713
30,7048
26,8243
2,8315
3,8502
12,8657
49,8673
35,8844
18,9378
16,11982

simblock.block.ProofOfWorkBlock@764fffa0:10
38,0
24,130
33,167
3,286
20,324
35,352
47,365
12,389
49,404
28,437
21,445
11,451
16,504
23,521
44,525
27,601
30,653
31,673
13,681
7,704
29,745
50,791
46,809
9,835
43,842
8,854
4,926
45,941
14,971
41,986
1,1099
37,1102
19,1116
15,1230
42,1241
6,1255
5,1320
2,1344
34,1362
18,1405
22,1493
40,1545
39,1572
17,1575
10,1626
32,1698
25,1711
36,1771
48,1812
26,5207

simblock.block.ProofOfWorkBlock@4bf4680c:11
47,0
20,119
3,155
28,201
31,234
49,238
32,277
33,323
36,354
44,362
9,389
35,433
38,439
41,509
45,527
4,599
19,641
15,644
21,663
16,681
7,733
50,776
25,777
10,795
48,836
37,906
12,925
42,970
18,1034
22,1055
30,1188
34,1318
8,1448
11,1485
6,1642
43,1711
1,1797
13,2104
24,2191
39,2384
2,2810
5,3015
27,3133
14,3348
17,3933
46,4139
